| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.2            |
| 3     | 0.31           |
| 4     | 0.25           |
| 5     | 0.31           |
| 6     | 0.64           |
| 7     | 0.63           |
| 8     | 0.72           |
| 9     | 0.91           |
| 10    | 0.83           |
| 11    | 1.02           |
| 12    | 1.2            |
| 13    | 1.35           |
| 14    | 1.91           |
| 15    | 1.54           |
| 16    | 1.25           |
| 17    | 1.26           |
| 18    | 1.35           |
| 19    | 1.33           |
| 20+   | 0.3            |
| 20–29 | 0.43           |
| 30–39 | 0.46           |
| 40–49 | 0.54           |
| 50–59 | 0.58           |
| 60–69 | 0.49           |
| 70–79 | 0.57           |
| 80+   | 0.67           |
