"Cause of death (females, Postneonates)","Percent"
"All causes",100
"Congenital malformations, deformations and chromosomal abnormalities",20
"Sudden infant death syndrome",14.9
"Accidents (unintentional injuries)",14.4
"Diseases of the circulatory system",4.8
"Assault (homicide)",3.2
"Diarrhea and gastroenteritis of infectious origin",2.7
"Influenza and pneumonia",2.1
Septicemia,2
"Chronic respiratory disease originating in the perinatal period",2
"Disorders related to short gestation and low birth weight, not elsewhere classified",1.1
"All other causes",33
