Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.8,4
"3 years",3.4,3.5,3.5,3.6,3.8,3.9,4,4.1,4.2
"4 years",3.5,3.6,3.6,3.7,3.9,4,4.1,4.2,4.3
"5 years",3.6,3.7,3.7,3.9,4.1,4.3,4.4,4.4,4.5
"6 years",*,3.9,4,4,4.3,4.5,4.5,4.6,*
"7 years",*,4,4.1,4.2,4.3,4.5,4.6,4.7,*
"8 years",*,4,4,4.2,4.4,4.6,4.8,4.9,*
"9 years",*,4.2,4.4,4.5,4.7,5,5.1,5.1,*
"10 years",*,4.5,4.5,4.6,4.8,5,5.2,5.2,*
"11 years",*,4.6,4.7,4.8,5,5.2,5.4,5.5,*
"12 years",*,*,4.9,5,5.2,5.5,5.8,*,*
"13 years",*,*,5,5.2,5.5,5.8,5.9,*,*
"14 years",*,*,5.3,5.4,5.7,6,6.1,*,*
"15 years",*,*,5.4,5.5,5.7,5.8,6,*,*
"16 years",*,*,5.5,5.6,5.7,6,6.1,*,*
"17 years",*,*,5.5,5.6,5.8,6,6.2,*,*
"18 years",*,*,5.5,5.6,5.8,6.1,6.2,*,*
"19 years",*,*,5.4,5.6,5.7,5.9,6,*,*
"20 years and older",5.3,5.5,5.5,5.7,5.9,6.2,6.3,6.4,6.5
"20–29 years",5.2,5.4,5.5,5.6,5.8,6,6.1,6.2,6.3
"30–39 years",5.3,5.4,5.5,5.6,5.9,6.1,6.2,6.3,6.5
"40–49 years",5.4,5.5,5.6,5.7,5.9,6.2,6.3,6.4,6.5
"50–59 years",5.4,5.5,5.6,5.7,6,6.2,6.4,6.5,6.6
"60–69 years",5.4,5.5,5.7,5.8,6.1,6.3,6.4,6.5,6.6
"70–79 years",5.5,5.6,5.7,5.9,6.1,6.3,6.5,6.5,6.7
"80 years and older",5.5,5.6,5.7,5.8,6.1,6.4,6.5,6.5,6.7
