Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",*,3.2,3.2,3.3,3.5,3.6,3.7,3.7,*
"3 years",3.2,3.3,3.4,3.5,3.6,3.8,3.9,3.9,4
"4 years",*,3.5,3.5,3.6,3.8,4,4,4.2,*
"5 years",*,3.6,3.7,3.7,3.9,4.1,4.2,4.3,*
"6 years",*,*,3.8,3.9,4.1,4.2,4.4,*,*
"7 years",*,*,3.9,4,4.2,4.4,4.5,*,*
"8 years",*,*,4.1,4.2,4.4,4.6,4.7,*,*
"9 years",*,*,4.3,4.4,4.5,4.8,4.9,*,*
"10 years",*,*,4.4,4.5,4.7,4.9,5,*,*
"11 years",*,*,4.5,4.6,4.8,5.1,5.2,*,*
"12 years",*,*,4.5,4.7,5,5.2,5.2,*,*
"13 years",*,*,4.7,4.8,5,5.2,5.3,*,*
"14 years",*,*,4.7,4.8,5,5.2,5.3,*,*
"15 years",*,*,4.7,4.9,5,5.2,5.3,*,*
"16 years",*,*,4.7,4.8,5.1,5.3,5.4,*,*
"17 years",*,*,4.8,4.9,5.1,5.3,5.3,*,*
"18 years",*,*,*,4.8,5,5.2,*,*,*
"19 years",*,*,*,4.8,5,5.2,*,*,*
"20 years and older",4.7,4.8,4.8,5,5.2,5.4,5.5,5.6,5.7
"20–29 years",4.5,4.7,4.7,4.8,5,5.2,5.4,5.4,5.5
"30–39 years",4.7,4.8,4.8,4.9,5.1,5.3,5.4,5.5,5.6
"40–49 years",4.6,4.7,4.8,5,5.2,5.4,5.5,5.6,5.7
"50–59 years",4.7,4.9,4.9,5,5.2,5.5,5.6,5.7,5.8
"60–69 years",4.7,4.9,5,5,5.3,5.5,5.6,5.7,5.9
"70–79 years",4.8,4.9,5,5.1,5.3,5.5,5.7,5.7,5.9
"80 years and older",4.8,4.9,5,5.1,5.4,5.6,5.7,5.7,5.9
