| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.3            |
| 2–11 months       | 0.3            |
| 1–2 years         | 0.4            |
| 3–5 years         | 0.4            |
| 6–11 years        | 0.7            |
| 12–15 years       | 1              |
| 16–19 years       | 0.9            |
| 20–29 years       | 0.8            |
| 30–39 years       | 0.6            |
| 40–49 years       | 1              |
| 50–59 years       | 0.8            |
| 60–69 years       | 0.7            |
| 70–79 years       | 0.7            |
| 80 years and over | 0.7            |
