| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.12           |
| 2–11 months       | 0.07           |
| 1–2 years         | 0.11           |
| 3–5 years         | 0.12           |
| 6–11 years        | 0.17           |
| 12–15 years       | 0.27           |
| 16–19 years       | 0.32           |
| 20–29 years       | 0.24           |
| 30–39 years       | 0.23           |
| 40–49 years       | 0.41           |
| 50–59 years       | 0.24           |
| 60–69 years       | 0.19           |
| 70–79 years       | 0.19           |
| 80 years and over | 0.15           |
