| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.08           |
| 2–11 months       | 0.04           |
| 1–2 years         | 0.09           |
| 3–5 years         | 0.09           |
| 6–11 years        | 0.12           |
| 12–15 years       | 0.16           |
| 16–19 years       | 0.22           |
| 20–29 years       | 0.16           |
| 30–39 years       | 0.17           |
| 40–49 years       | 0.21           |
| 50–59 years       | 0.14           |
| 60–69 years       | 0.1            |
| 70–79 years       | 0.13           |
| 80 years and over | 0.11           |
