"Cause of death","Percent of total deaths"
"All causes",100
"Sudden infant death syndrome",22.6
"Congenital malformations, deformations and chromosomal abnormalities",19.7
"Accidents (unintentional injuries)",8.3
"Diseases of the circulatory system",4.9
Septicemia,3.3
"Assault (homicide)",3
"Influenza and pneumonia",2.8
"Chronic respiratory disease originating in the perinatal period",2.7
"Gastritis, duodenitis, and noninfective enteritis and colitis",2.6
"Disorders related to short gestation and low birth weight, not elsewhere classified",1.1
"All other causes",29.1
