Age,"Sample size",Mean,"Standard error",Median
"All ages",15182,2355,19.7,2206
"2–11 months",805,1212,28.1,1112
"1–2 years",1139,1871,34.7,1742
"3–5 years",1517,2030,42.1,1912
"6–11 years",1553,2188,61.5,2056
"12–15 years",848,2173,69,1942
"16–19 years",811,2206,83,2003
"20–29 years",1813,2321,35.4,2181
"30–39 years",1814,2512,41.1,2357
"40–49 years",1315,2474,54.1,2312
"50–59 years",979,2508,51.3,2360
"60–69 years",1097,2539,48.6,2462
"70–79 years",895,2445,44,2324
"80 years and over",596,2349,51.8,2247
