"Cause of death","Percent of total deaths"
"All causes",100
"Disorders related to short gestation and low birth weight, not elsewhere classified",22.4
"Congenital malformations, deformations and chromosomal abnormalities",21.2
"Newborn affected by maternal complications of pregnancy",7.5
"Respiratory distress of newborn",5.7
"Newborn affected by complications of placenta, cord and membranes",5.4
"Bacterial sepsis of newborn",4.1
"Neonatal hemorrhage",3.3
"Intrauterine hypoxia and birth asphyxia",3.1
Atelectasis,2.8
"Necrotizing enterocolitis of newborn",1.8
"All other causes",22.8
