| Age   | Sample size |
| ----- | ----------- |
| 2     | 524         |
| 3     | 485         |
| 4     | 542         |
| 5     | 492         |
| 6     | 279         |
| 7     | 268         |
| 8     | 262         |
| 9     | 273         |
| 10    | 293         |
| 11    | 281         |
| 12    | 202         |
| 13    | 181         |
| 14    | 185         |
| 15    | 182         |
| 16    | 191         |
| 17    | 190         |
| 18    | 169         |
| 19    | 162         |
| 20+   | 7410        |
| 20–29 | 1579        |
| 30–39 | 1428        |
| 40–49 | 1173        |
| 50–59 | 816         |
| 60–69 | 1101        |
| 70–79 | 773         |
| 80+   | 540         |
