"Cause of death",Number
"All causes",12317
"Congenital malformations, deformations and chromosomal abnormalities"
"Disorders related to short gestation and low birth weight, not elsewhere classified"
"Sudden infant death syndrome",1014
"Newborn affected by maternal complications of pregnancy",613
"Newborn affected by complications of placenta, cord and membranes"
"Accidents (unintentional injuries)",380
"Respiratory distress of newborn",356
"Bacterial sepsis of newborn",321
"Diseases of the circulatory system",306
"Intrauterine hypoxia and birth asphyxia",278
"All other causes",3835
