"Cause of death",Number
"All causes",28035
"Congenital malformations, deformations and chromosomal abnormalities"
"Disorders related to short gestation and low birth weight, not elsewhere classified"
"Sudden infant death syndrome",2523
"Newborn affected by maternal complicationsof pregnancy",1404
"Newborn affected by complications of placenta, cord and membranes"
"Respiratory distress of newborn",999
"Accidents (unintentional injuries)",881
"Bacterial sepsis of newborn",768
"Diseases of the circulatory system",663
"Intrauterine hypoxia and birth asphyxia",630
"All other causes",8965
