"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",28035,100,690.7
"Congenital malformations, deformations and chromosomal abnormalities",5743,20.5,141.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",4397,15.7,108.3
"Sudden infant death syndrome",2523,9,62.2
"Newborn affected by maternal complicationsof pregnancy",1404,5,34.6
"Newborn affected by complications of placenta, cord and membranes",1062,3.8,26.2
"Respiratory distress of newborn",999,3.6,24.6
"Accidents (unintentional injuries)",881,3.1,21.7
"Bacterial sepsis of newborn",768,2.7,18.9
"Diseases of the circulatory system",663,2.4,16.3
"Intrauterine hypoxia and birth asphyxia",630,2.2,15.5
"All other causes",8965,32,220.9
