"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",15718,100,756.8
"Congenital malformations, deformations and chromosomal abnormalities",3028,19.3,145.8
"Disorders related to short gestation and low birth weight, not elsewhere classified",2391,15.2,115.1
"Sudden infant death syndrome",1509,9.6,72.7
"Newborn affected by maternal complications of pregnancy",791,5,38.1
"Respiratory distress of newborn",643,4.1,31
"Newborn affected by complications of placenta, cord and membranes",569,3.6,27.4
"Accidents (unintentional injuries)",501,3.2,24.1
"Bacterial sepsis of newborn",447,2.8,21.5
"Diseases of the circulatory system",357,2.3,17.2
"Intrauterine hypoxia and birth asphyxia",352,2.2,16.9
"All other causes",5130,32.6,247
