"Cause of death (female, 5–9 years)",Number,"Percent of total deaths","Death rate"
"All causes",1043,100,10.6
"Accidents (unintentional injuries)",297,28.5,3
"Malignant neoplasms",178,17.1,1.8
"Congenital malformations, deformations and chromosomal abnormalities",86,8.2,0.9
"Assault (homicide)",58,5.6,0.6
"Diseases of heart",48,4.6,0.5
"Influenza and pneumonia",28,2.7,0.3
"Chronic lower respiratory diseases",23,2.2,0.2
Septicemia,22,2.1,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",19,1.8,*
"Cerebrovascular diseases",17,1.6,*
"All other causes",267,25.6,2.7
