Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",19780,100,2143.6
"Consumption (Tuberculosis)",5830,29.5,631.8
Infectious,4989,25.2,540.7
"Respiratory system",1799,9.1,195
"Nervous system",1178,6,127.7
"Digestive system",1129,5.7,122.4
"Affections connected with pregnancy",1041,5.3,112.8
"Circulatory system",838,4.2,90.8
"Accidents and injuries",798,4,86.5
"Genitourinary system",612,3.1,66.3
"Bones and joints",75,0.4,8.1
Cancer,58,0.3,6.3
Skin,26,0.1,2.8
"Absorbent system",10,0.1,1.1
"Other causes",1397,7.1,151.4
