"Table 2. Energy intake in kilocalories by sex, age, and income level: United States, 1988-94",,,,
"BOTH SEXEs",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,2129,15.8,1925
"Under 6 years",6871,1407,14.2,1345
"6–11 years",3134,1974,28.3,1854
"12–19 years",3121,2415,35.8,2206
"20–59 years",10940,2325,21.2,2134
"60 years and over",5039,1719,17.4,1592
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,2024,21.5,1793
"Under 6 years",3145,1453,23.5,1377
"6–11 years",1446,2000,31.5,1885
"12–19 years",1345,2329,51.2,2099
"20–59 years",3329,2272,41.7,2026
"60 years and over",1431,1490,35.4,1386
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,2171,19.4,1968
"Under 6 years",3128,1390,19.2,1327
"6–11 years",1439,1969,36.7,1838
"12–19 years",1470,2449,49,2236
"20–59 years",6710,2348,22.6,2161
"60 years and over",3024,1781,18.6,1657
,,,,
"MALES ---------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,2517,22.9,2319
"Under 6 years",3410,1458,19,1390
"6–11 years",1581,2147,46.3,2023
"12–19 years",1462,2845,50.6,2668
"20–59 years",5019,2806,30.9,2617
"60 years and over",2451,2034,23.2,1916
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,2350,36.7,2129
"Under 6 years",1564,1507,29.5,1444
"6–11 years",713,2177,56.2,2075
"12–19 years",634,2615,64.3,2530
"20–59 years",1390,2771,63.9,2569
"60 years and over",628,1732,48,1592
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,2575,24.8,2379
"Under 6 years",1548,1442,26.1,1375
"6–11 years",746,2156,56.9,2039
"12–19 years",674,2951,66.8,2730
"20–59 years",3226,2826,30.8,2654
"60 years and over",1576,2092,25.9,1982
,,,,
"FEMALES ---------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,1764,11.4,1648
"Under 6 years",3461,1352,15.6,1292
"6–11 years",1553,1794,27.6,1687
"12–19 years",1659,1978,35.7,1866
"20–59 years",5921,1868,17.4,1752
"60 years and over",2588,1484,17.2,1420
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,1767,22.5,1617
"Under 6 years",1581,1395,32.2,1310
"6–11 years",733,1836,45.4,1690
"12–19 years",711,2082,80.4,1866
"20–59 years",1939,1892,47.9,1716
"60 years and over",803,1370,39.8,1268
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,1770,14.4,1662
"Under 6 years",1580,1334,20,1291
"6–11 years",693,1762,32.5,1687
"12–19 years",796,1926,37.4,1840
"20–59 years",3484,1869,17.8,1766
"60 years and over",1448,1514,19.3,1444
