"Table 8. Alcohol intake in grams by sex, age, and income level: United States, 1988–94",,,,
"BOTH SEXES",,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",29105,8,0.4,
"Under 6 years",6871,–,–,
"6–11 years",3134,–,–,
"12–19 years",3121,3,0.6,
"20–59 years",10940,12,0.7,
"60 years and over",5039,5,0.6,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",10696,5,0.4,
"Under 6 years",3145,–,–,
"6–11 years",1446,–,–,
"12–19 years",1345,2,0.5,
"20–59 years",3329,10,0.8,
"60 years and over",1431,2,0.5,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15771,9,0.6,
"Under 6 years",3128,–,–,
"6–11 years",1439,–,–,
"12–19 years",1470,4,0.7,
"20–59 years",6710,13,0.9,
"60 years and over",3024,7,0.8,
,,,,
"MALES ----------------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",13923,12,0.6,
"Under 6 years",3410,–,–,
"6–11 years",1581,–,–,
"12–19 years",1462,5,1,
"20–59 years",5019,17,1.1,
"60 years and over",2451,9,1,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",4929,8,0.8,
"Under 6 years",1564,–,–,
"6–11 years",713,–,–,
"12–19 years",634,3,1.1,
"20–59 years",1390,16,1.6,
"60 years and over",628,5,1.2,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",7770,13,0.8,
"Under 6 years",1548,–,–,
"6–11 years",746,–,–,
"12–19 years",674,6,1.4,
"20–59 years",3226,18,1.3,
"60 years and over",1576,10,1.2,
,,,,
"FEMALES --------------------------------------------",,,,
,,,,
"Total : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",15182,5,0.4,
"Under 6 years",3461,–,–,
"6–11 years",1553,–,–,
"12–19 years",1659,1,0.3,
"20–59 years",5921,7,0.7,
"60 years and over",2588,3,0.4,
,,,,
"Poverty income ratio ≤ 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",5767,3,0.4,
"Under 6 years",1581,–,–,
"6–11 years",733,–,–,
"12–19 years",711,1,0.4,
"20–59 years",1939,5,0.9,
"60 years and over",803,1,0.2,
,,,,
"Poverty income ratio > 1.300 : Sample size",,,,
,,,,
Age,"Sample size",Mean,"Standard error of the mean",Median
"All ages",8001,5,0.5,
"Under 6 years",1580,–,–,
"6–11 years",693,–,–,
"12–19 years",796,1,0.4,
"20–59 years",3484,8,0.9,
"60 years and over",1448,4,0.5,
