| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.2            |
| 3     | 0.19           |
| 4     | 0.22           |
| 5     | 0.24           |
| 6     | 0.33           |
| 7     | 0.34           |
| 8     | 0.38           |
| 9     | 0.39           |
| 10    | 0.42           |
| 11    | 0.43           |
| 12    | 0.51           |
| 13    | 0.52           |
| 14    | 0.45           |
| 15    | 0.47           |
| 16    | 0.39           |
| 17    | 0.41           |
| 18    | 0.52           |
| 19    | 0.44           |
| 20+   | 0.09           |
| 20–29 | 0.13           |
| 30–39 | 0.13           |
| 40–49 | 0.15           |
| 50–59 | 0.17           |
| 60–69 | 0.15           |
| 70–79 | 0.2            |
| 80+   | 0.24           |
