| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.19           |
| 3     | 0.2            |
| 4     | 0.2            |
| 5     | 0.23           |
| 6     | 0.37           |
| 7     | 0.38           |
| 8     | 0.36           |
| 9     | 0.36           |
| 10    | 0.38           |
| 11    | 0.38           |
| 12    | 0.51           |
| 13    | 0.64           |
| 14    | 0.57           |
| 15    | 0.55           |
| 16    | 0.58           |
| 17    | 0.54           |
| 18    | 0.5            |
| 19    | 0.45           |
| 20+   | 0.09           |
| 20–29 | 0.15           |
| 30–39 | 0.17           |
| 40–49 | 0.18           |
| 50–59 | 0.2            |
| 60–69 | 0.17           |
| 70–79 | 0.21           |
| 80+   | 0.26           |
