Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1465,224.54,64.09,135.62,149.42,160.22,176.87,213.1,262.93,294.29,317.27,345.81
"12–15 years",2318,349.5,69.67,240.96,264.57,278.08,300.29,346.67,394.35,419.59,438.06,467.97
"16–19 years",2027,387.67,70.2,276.7,301.26,317.65,343.01,383.96,428.78,457.5,474.18,515.15
"20–29 years",1378,393.41,64.45,291.02,310.86,326.02,347.54,391.45,435.21,456.43,475.53,504.94
"30–39 years",1372,396.88,64.83,297.69,318.83,331.61,350.35,392.34,438.27,463.06,480.06,514.09
"40–49 years",1570,398.94,65.07,302.12,317.66,331.49,356.25,394.44,437.45,464.66,484.29,510.55
"50–59 years",1200,379.82,64.33,278.36,300.53,312.59,336.7,378.18,420.15,444.27,465.79,489.37
"60–69 years",1419,363.34,65.9,258.86,281.97,296.15,314.77,360.85,406.44,430.36,443.49,469.86
"70–79 years",750,326.96,66.35,221.77,248.88,260.74,284.82,323.51,369.82,395.45,412.91,433.21
"80 years and over",594,285.29,68.19,172.53,196.71,214.27,241.65,282.81,329.68,357.88,374.62,399.7
"20 years and over (age-adjusted)",8283,379.61,,,,,,,,,,
