Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",508,4.2,0.02,*,3.9,4,4,4.2,4.4,4.5,4.5,*
"3 years",566,4.4,0.02,3.9,4,4.1,4.2,4.4,4.5,4.6,4.7,4.9
"4 years",526,4.6,0.03,*,4.2,4.2,4.3,4.5,4.7,4.8,5,*
"5 years",555,4.8,0.03,*,4.3,4.4,4.5,4.7,5,5.2,5.3,*
"6 years",274,4.9,0.04,*,*,4.5,4.6,4.9,5.1,5.2,*,*
"7 years",271,5.1,0.04,*,*,4.7,4.8,5.1,5.4,5.5,*,*
"8 years",245,5.3,0.04,*,*,5,5.1,5.3,5.5,5.7,*,*
"9 years",272,5.6,0.05,*,*,5.2,5.3,5.5,5.7,6,*,*
"10 years",257,5.7,0.05,*,*,5.4,5.5,5.7,6,6.1,*,*
"11 years",270,5.9,0.04,*,*,5.6,5.7,5.9,6.2,6.3,*,*
"12 years",233,6.1,0.05,*,*,5.6,5.8,6.1,6.4,6.5,*,*
"13 years",218,6.2,0.05,*,*,5.8,5.9,6.2,6.5,6.6,*,*
"14 years",220,6.2,0.05,*,*,5.9,6,6.1,6.5,6.6,*,*
"15 years",196,6.2,0.06,*,*,5.8,6,6.2,6.5,6.6,*,*
"16 years",210,6.2,0.05,*,*,5.8,6,6.2,6.5,6.5,*,*
"17 years",212,6.2,0.05,*,*,5.8,6,6.2,6.5,6.6,*,*
"18 years",188,6.1,0.06,*,*,5.7,5.9,6,6.4,6.6,*,*
"19 years",187,6.3,0.06,*,*,5.9,6,6.2,6.6,6.7,*,*
"20 years and older",8443,6.5,0.01,5.7,5.9,6,6.1,6.4,6.8,7,7.2,7.4
"20–29 years",1805,6.2,0.02,5.6,5.7,5.8,6,6.2,6.5,6.7,6.8,7.1
"30–39 years",1798,6.4,0.02,5.7,5.8,6,6.1,6.4,6.7,6.9,7,7.4
"40–49 years",1312,6.5,0.02,5.8,5.9,6,6.2,6.5,6.7,7,7.2,7.4
"50–59 years",968,6.7,0.03,5.9,6,6.1,6.2,6.6,7,7.3,7.4,7.7
"60–69 years",1092,6.6,0.02,6,6.1,6.1,6.3,6.6,6.9,7.1,7.3,7.5
"70–79 years",873,6.6,0.03,5.9,6,6.1,6.2,6.6,7,7.2,7.3,7.7
"80 years and older",595,6.5,0.03,5.8,6,6.1,6.2,6.5,6.9,7,7.1,7.3
