"Systolic blood pressure (mm. Hg) ",Total,"Under 60",60-69,70-79,80-89,90-99,100-109,110-119,120-129,"130 and over"
Total,100,1.6,7.4,25.6,35.3,17.2,8.2,2.8,1.4,0.5
"Under 90",0.5,0.3,0.2,0,,,,,,
90-99,2,0.4,1.2,0.4,,,,,,
100-109,6.9,0.3,2.1,3.5,1,,,,,
110-119,18,0.6,2.2,7.5,6.7,1,,,,
120-129,20.9,,0.9,8.4,9.8,1.8,,,,
130-139,17.4,,0.8,3.8,8.5,3.9,0.3,0.1,,
140-149,13.4,,0,1.6,5.2,4.8,1.6,0.2,,
150-159,6.9,,,0.2,2,2.5,1.6,0.4,0.2,
160-169,6.5,,,0.1,1.9,2.1,1.9,0.1,0.4,
170-179,2.7,,,0.1,0.2,0.6,1.1,0.5,0.1,0.1
180-189,1,,,,,0.3,0.3,0.1,0.3,
190-199,1.2,,,,,0.2,0.6,0.3,0.1,
200-209,1.5,,,,,,0.8,0.4,0.1,0.2
210-219,0.5,,,,,,,0.4,0,0.1
"220 and over",0.6,,,,,,,0.3,0.2,0.1
