"Cause of death (female, 55–64 years)",Number,"Percent of total deaths","Death rate"
"All causes",147012,100,669.8
"Malignant neoplasms",51380,34.9,234.1
"Diseases of heart",24931,17,113.6
"Chronic lower respiratory diseases",9336,6.4,42.5
"Accidents (unintentional injuries)",7233,4.9,33
"Diabetes mellitus",5763,3.9,26.3
"Cerebrovascular diseases",5401,3.7,24.6
"Chronic liver disease and cirrhosis",4773,3.2,21.7
Septicemia,2607,1.8,11.9
"Nephritis, nephrotic syndrome and nephrosis",2344,1.6,10.7
"Influenza and pneumonia",2307,1.6,10.5
"All other causes",30937,21,140.9
