"Body site","Number of visits in thousands"
"All injury visits",39395
"Head and neck",5411
"Traumatic brain injury",373
"Other head",1383
Face,1855
Eye,454
"Head, face, and neck unspecified",1346
"Vertebral column",2083
Cervical,1087
"Thoracic and dorsal",189
Lumbar,765
Torso,1809
Chest,732
Abdomen,168
"Pelvis and urogenital",242
Trunk,173
"Back and buttocks",494
"Upper extremity",7335
"Shoulder and upper arm",1326
"Forearm and elbow",1008
"Wrist, hand, and fingers",4582
"Other and unspecified upper extremity",418
"Lower extremity",5754
Hip,488
"Upper leg and thigh",203
Knee,507
"Lower leg and ankle",1601
"Foot and toes",1294
"Other and unspecified lower extremity",1661
Systemwide,1316
"Other and unspecified body site injuries",1855
"Adverse effects and medical complications",1208
"All other diagnoses",11735
Unknown,881
