Age,"percent of adult BMI"
Birth,*49
"2 months",*63
"3 months",*65
"4 months",*66
"5 months",*67
"6 months",*65
"7 months",*68
"8 months",*67
"9 months",*67
"10 months",*67
"11 months",*66
"1 year",*64
"2 years",62
"3 years",60
"4 years",61
"5 years",60
"6 years",61
"7 years",64
"8 years",66
"9 years",69
"10 years",70
"11 years",74
"12 years",77
"13 years",83
"14 years",85
"15 years",83
"16 years",87
"17 years",88
"18 years",87
"19 years",90
"20 years and over",100
"20–29 years",92
"30–39 years",100
"40–49 years",102
"50–59 years",108
"60–69 years",105
"70–79 years",102
"80 years and over",96
