Age,"percent of adult BMI"
Birth,*49
"2 months",*71
"3 months",*69
"4 months",*66
"5 months",*68
"6 months",*68
"7 months",*67
"8 months",*69
"9 months",*67
"10 months",*67
"11 months",*67
"1 year",*65
"2 years",63
"3 years",61
"4 years",60
"5 years",60
"6 years",62
"7 years",63
"8 years",66
"9 years",68
"10 years",70
"11 years",73
"12 years",76
"13 years",78
"14 years",84
"15 years",84
"16 years",84
"17 years",88
"18 years",85
"19 years",90
"20 years and over",100
"20–29 years",95
"30–39 years",100
"40–49 years",103
"50–59 years",105
"60–69 years",103
"70–79 years",101
"80 years and over",94
