"Mechanism and intent of death",Rate
"All injury",75
"  Unintentional",52.7
"  Suicide",14.5
"  Homicide",5.8
"  Undetermined",1.7
"  Legal intervention/war",0.2
Poisoning,23.1
"  Unintentional",20
"  Suicide",1.9
"  Homicide",0
"  Undetermined",1.1
"  Legal intervention/war",*
"Motor vehicle traffic",11.5
"  Occupant",2.7
"  Motorcyclist",1.4
"  Pedal cyclist",0.2
"  Pedestrian",2
"  Other",*
"  Unspecified",5.1
Firearm,12.1
"  Unintentional",0.1
"  Suicide",7.3
"  Homicide",4.4
"  Undetermined",0.1
"  Legal intervention/war",0.2
Fall,12.4
"  Unintentional",12
"  Suicide",0.4
"  Homicide",*
"  Undetermined",0
