"Cause of death (both sexes, 10–14 years)",Number
"All causes",3164
"Accidents (unintentional injuries)",778
"Intentional self-harm (suicide)",534
"Malignant neoplasms",404
"Assault (homicide)",191
"Congenital malformations, deformations and chromosomal abnormalities",189
"Diseases of heart",87
"Chronic lower respiratory diseases",81
"Influenza and pneumonia",71
"Cerebrovascular diseases",48
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",35
"All other causes",746
