"Therapeutic drug category","Number of occurences per 100 drug mentions","Standard error of rate"
"All occurrences",113.1,0.2
Anti-infectives,7.6,0.3
Amebicides,0.2,0
Antifungals,0.2,0
"Azole antifungals",0.2,0
"Miscellaneous antifungals",0,0
"Antimalarial agents",0.4,0
"Antimalarial quinolines",0.1,0
"Miscellaneous antimalarials",0.2,0
"Antituberculosis agents",*0.0,0
"Nicotinic acid derivatives",*0.0,0
"Rifamycin derivatives",*0.0,0
"Antiviral agents",0.4,0
"Protease inhibitors",*0.0,0
NRTIs,*0.0,0
NNRTIs,*0.0,0
"Adamantane antivirals",0,0
"Purine nucleosides",0.2,0
"Neuraminidase inhibitors",0,0
"Antiviral combinations",*0.0,0
Cephalosporins,1.1,0.1
"First generation cephalosporins",0.6,0
"Second generation cephalosporins",0.1,0
"Third generation cephalosporins",0.4,0
"Fourth generation cephalosporins",0,0
Leprostatics,0,0
"Macrolide derivatives",1.1,0.1
Macrolides,1.1,0.1
"Miscellaneous antibiotics",1,0.1
Penicillins,1.7,0.1
"Penicillinase resistant penicillins",*0.0,0
Aminopenicillins,1,0.1
"Beta-lactamase inhibitors",0.5,0.1
"Natural penicillins",0.1,0
Quinolones,1.2,0.1
Sulfonamides,0.5,0
Tetracyclines,0.3,0
"Urinary anti-infectives",0.1,0
Aminoglycosides,0,0
"Lincomycin derivatives",0.2,0
Antineoplastics,1.1,0.1
"Alkylating agents",0.1,0
Antibiotics/antineoplastics,0,0
Antimetabolites,0.3,0
Hormones/antineoplastics,0.5,0
"Miscellaneous antineoplastics",0.1,0
"Mitotic inhibitors",0,0
"Antineoplastic monoclonal antibodies",0.1,0
"Tyrosine kinase inhibitors",0,0
Biologicals,0.2,0
"Colony stimulating factors",0,0
"Recombinant human erythropoietins",0.1,0
"Cardiovascular agents",15.4,0.4
"Angiotensin converting enzyme inhibitors",2.6,0.1
"Antiadrenergic agents, peripherally acting",0.6,0
"Antiadrenergic agents, centrally acting",0.2,0
"Antianginal agents",0.4,0
"Antiarrhythmic agents",0.6,0.1
"Beta-adrenergic blocking agents",3.3,0.1
"Cardioselective beta blockers",2.5,0.1
"Non-cardioselective beta blockers",0.7,0.1
"Calcium channel blocking agents",1.5,0.1
Diuretics,2.7,0.1
"Loop diuretics",1.3,0.1
"Potassium-sparing diuretics",0.3,0
"Thiazide diuretics",1.2,0.1
"Carbonic anhydrase inhibitors",0,0
"Inotropic agents",0.3,0
"Miscellaneous cardiovascular agents",0,0
Vasodilators,0.4,0
Vasopressors,0.2,0
"Antihypertensive combinations",1.3,0.1
"Angiotensin II inhibitors",1.4,0.1
"Agents for pulmonary hypertension",0.1,0
"Aldosterone receptor antagonists",0.2,0
"Central nervous system agents",22.7,0.5
Analgesics,13.1,0.3
"Miscellaneous analgesics",1.7,0.1
"Narcotic analgesics",1.5,0.1
"Nonsteroidal anti-inflammatory agents",3.6,0.1
Salicylates,2.4,0.1
"Analgesic combinations",0.2,0
"Narcotic analgesic combinations",2.8,0.1
"Antimigraine agents",0.3,0
"Cox-2 inhibitors",0.5,0
Anticonvulsants,3,0.1
"Hydantoin anticonvulsants",0.1,0
"Barbiturate anticonvulsants",0,0
"Benzodiazepine anticonvulsants",1.3,0.1
"Miscellaneous anticonvulsants",*0.0,0
"Dibenzazepine anticonvulsants",0.1,0
"Fatty acid derivative anticonvulsants",0.1,0
"Gamma-aminobutyric acid analogs",0.7,0
"Triazine anticonvulsants",0.2,0
"Pyrrolidine anticonvulsants",0,0
"Carbonic anhydrase inhibitor anticonvulsants",0.2,0
"Antiemetic/antivertigo agents",2.4,0.1
"5HT3 receptor antagonists",0.3,0
"Phenothiazine antiemetics",0.7,0
"Anticholinergic antiemetics",0.6,0
"Miscellaneous antiemetics",0.8,0.1
"Anti-Parkinson agents",0.7,0
"Anticholinergic anti-Parkinson agents",0.4,0
"Dopaminergic anti-Parkinson agents",0.3,0
"Anxiolytics, sedatives, and hypnotics",3.8,0.1
Barbiturates,0,0
Benzodiazepines,2.3,0.1
"Miscellaneous anxiolytics, sedatives and hypnotics",1.5,0.1
"CNS stimulants",0.9,0.1
"General anesthetics",*0.1,0.1
"Muscle relaxants",1.1,0.1
"Neuromuscular blocking agents",*0.0,0
"Skeletal muscle relaxants",1.1,0.1
"Miscellaneous central nervous system agents",0.1,0
"Adrenal cortical steroids",2,0.1
Glucocorticoids,1.9,0.1
"Miscellaneous hormones",0.2,0
"Sex hormones",1.6,0.1
Contraceptives,0.7,0.1
"Androgens and anabolic steroids",0.1,0
Estrogens,0.5,0
Gonadotropins,*0.0,0
Progestins,0.2,0
"Sex hormone combinations",0.1,0
"Miscellaneous sex hormones",0.1,0
"5-alpha-reductase inhibitors",0.2,0
"Thyroid drugs",1.5,0.1
Bisphosphonates,0.7,0.1
"Incretin mimetics",0,0
"Miscellaneous agents",4.4,0.2
Antidotes,0,0
"Chelating agents",0,0
"Local injectable anesthetics",0.6,0.1
"Miscellaneous uncategorized agents",1.8,0.2
"Genitourinary tract agents",0.7,0
"Impotence agents",0.3,0
"Urinary antispasmodics",0.3,0
"Urinary pH modifiers",0,0
"Miscellaneous genitourinary tract agents",0.1,0
Antirheumatics,0.5,0.1
Antipsoriatics,0.2,0
"Smoking cessation agents",0.7,0
"Nutritional products",5.4,0.2
"Iron products",0.3,0.4
"Minerals and electrolytes",1.7,0.1
"Oral nutritional supplements",0,0
Vitamins,1.2,0.1
"Vitamin and mineral combinations",1.2,0.1
"Respiratory agents",9.6,0.4
Antihistamines,2.9,0.1
Antitussives,0.3,0
Bronchodilators,3.1,0.2
Methylxanthines,0.1,0
"Adrenergic bronchodilators",1.9,0.1
"Bronchodilator combinations",0.8,0.1
"Anticholinergic bronchodilators",0.3,0
Decongestants,0.2,0
Expectorants,0.3,0
"Miscellaneous respiratory agents",0.4,0
"Respiratory inhalant products",0.4,0
"Inhaled corticosteroids",0.4,0
"Antiasthmatic combinations",0.1,0
"Upper respiratory combinations",1.1,0.1
"Leukotriene modifiers",0.7,0.1
"Lung surfactants",*0.0,0
"Topical agents",6.6,0.4
"Anorectal preparations",0,0
"Antiseptics and germicides",0.1,0
"Dermatological agents",2.8,0.2
"Topical anti-infectives",0.1,0
"Topical steroids",1,0.1
"Topical anesthetics",0.1,0
"Miscellaneous topical agents",0.5,0.1
"Topical steroids with antiinfectives",0.1,0
"Topical acne agents",0.4,0
"Topical antipsoriatics",0,0
"Topical emollients",0.1,0
"Topical antibiotics",0.2,0
"Topical antifungals",0.3,0
"Topical debriding agents",*0.0,0
