"Therapeutic drug category","Number of occurrences in thousands","Standard error in thousands"
"All occurrences",3040323,138837
Anti-infectives,203797,8124
Amebicides,4308,498
Antifungals,6625,598
"Azole antifungals",6043,566
"Miscellaneous antifungals",443,114
"Antimalarial agents",10145,1086
"Antimalarial quinolines",3876,787
"Miscellaneous antimalarials",6187,705
"Antituberculosis agents",*866,263
"Nicotinic acid derivatives",*362,161
"Rifamycin derivatives",*420,126
"Antiviral agents",10100,1284
"Protease inhibitors","*1,279",474
NRTIs,*766,232
NNRTIs,*183,83
"Adamantane antivirals",557,164
"Purine nucleosides",5128,606
"Neuraminidase inhibitors",648,191
"Antiviral combinations",*920,359
Cephalosporins,30232,1860
"First generation cephalosporins",15071,1273
"Second generation cephalosporins",3329,520
"Third generation cephalosporins",11672,916
"Fourth generation cephalosporins",77,19
Leprostatics,272,79
"Macrolide derivatives",30033,2040
Macrolides,29967,2035
"Miscellaneous antibiotics",25887,1783
Penicillins,45658,3009
"Penicillinase resistant penicillins",*323,104
Aminopenicillins,27398,2306
"Beta-lactamase inhibitors",14543,1207
"Natural penicillins",3358,414
Quinolones,30921,1762
Sulfonamides,13978,1150
Tetracyclines,8902,836
"Urinary anti-infectives",3773,475
Aminoglycosides,969,183
"Lincomycin derivatives",4039,433
Antineoplastics,28655,2580
"Alkylating agents",1651,344
Antibiotics/antineoplastics,396,92
Antimetabolites,7073,1349
Hormones/antineoplastics,12416,916
"Miscellaneous antineoplastics",3119,390
"Mitotic inhibitors",1298,274
"Antineoplastic monoclonal antibodies",2017,418
"Tyrosine kinase inhibitors",644,175
Biologicals,4242,853
"Colony stimulating factors",823,211
"Recombinant human erythropoietins",2705,667
"Cardiovascular agents",414246,25003
"Angiotensin converting enzyme inhibitors",68635,4276
"Antiadrenergic agents, peripherally acting",17238,1447
"Antiadrenergic agents, centrally acting",6373,518
"Antianginal agents",10659,988
"Antiarrhythmic agents",16855,1866
"Beta-adrenergic blocking agents",87765,6442
"Cardioselective beta blockers",67720,4873
"Non-cardioselective beta blockers",20045,2093
"Calcium channel blocking agents",41164,2747
Diuretics,73450,5272
"Loop diuretics",33848,2687
"Potassium-sparing diuretics",7426,834
"Thiazide diuretics",31387,2424
"Carbonic anhydrase inhibitors",584,154
"Inotropic agents",9373,1124
"Miscellaneous cardiovascular agents",804,166
Vasodilators,11627,960
Vasopressors,4572,1206
"Antihypertensive combinations",35560,2937
"Angiotensin II inhibitors",36385,2676
"Agents for pulmonary hypertension",3504,526
"Aldosterone receptor antagonists",5498,656
"Central nervous system agents",609893,30557
Analgesics,353057,18682
"Miscellaneous analgesics",46574,2907
"Narcotic analgesics",40240,3175
"Nonsteroidal anti-inflammatory agents",98039,5543
Salicylates,65446,5325
"Analgesic combinations",6659,762
"Narcotic analgesic combinations",76396,5344
"Antimigraine agents",7553,853
"Cox-2 inhibitors",12149,1240
Anticonvulsants,80130,5006
"Hydantoin anticonvulsants",3655,445
"Barbiturate anticonvulsants",1289,237
"Benzodiazepine anticonvulsants",35536,2617
"Miscellaneous anticonvulsants",*568,193
"Dibenzazepine anticonvulsants",3287,422
"Fatty acid derivative anticonvulsants",3854,410
"Gamma-aminobutyric acid analogs",18667,1547
"Triazine anticonvulsants",5069,643
"Pyrrolidine anticonvulsants",1225,173
"Carbonic anhydrase inhibitor anticonvulsants",5593,568
"Antiemetic/antivertigo agents",65698,3639
"5HT3 receptor antagonists",9138,942
"Phenothiazine antiemetics",17964,1387
