"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",2551,100,25
"Accidents (unintentional injuries)",1037,40.7,10.2
"Malignant neoplasms",300,11.8,2.9
"Intentional self-harm (suicide)",238,9.3,2.3
"Assault (homicide)",150,5.9,1.5
"Congenital malformations, deformations and chromosomal abnormalities",102,4,1
"Diseases of heart",99,3.9,1
"Chronic lower respiratory diseases",54,2.1,0.5
"Cerebrovascular diseases",21,0.8,0.2
"Influenza and pneumonia",21,0.8,0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",17,0.7,*
"All other causes",512,20.1,5
