"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1609,100,16.6
"Accidents (unintentional injuries)",551,34.2,5.7
"Malignant neoplasms",225,14,2.3
"Congenital malformations, deformations and chromosomal abnormalities",99,6.2,1
"Assault (homicide)",81,5,0.8
"Diseases of heart",66,4.1,0.7
"Intentional self-harm (suicide)",62,3.9,0.6
"Chronic lower respiratory diseases",37,2.3,0.4
"Cerebrovascular diseases",30,1.9,0.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",20,1.2,0.2
"Influenza and pneumonia",19,1.2,*
"All other causes",419,26,4.3
