"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",59943,100,315.8
"Malignant neoplasms",23819,39.7,125.5
"Diseases of heart",9553,15.9,50.3
"Accidents (unintentional injuries)",3215,5.4,16.9
"Cerebrovascular diseases",2776,4.6,14.6
"Diabetes mellitus",2133,3.6,11.2
"Chronic liver disease and cirrhosis",1679,2.8,8.8
"Chronic lower respiratory diseases",1590,2.7,8.4
"Intentional self-harm (suicide)",1288,2.1,6.8
"Human immunodeficiency virus (HIV) disease",846,1.4,4.5
Septicemia,806,1.3,4.2
"All other causes",12238,20.4,64.5
