"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",193801,100,1945.1
"Malignant neoplasms",66940,34.5,671.8
"Diseases of heart",47816,24.7,479.9
"Chronic lower respiratory diseases",14947,7.7,150
"Cerebrovascular diseases",11607,6,116.5
"Diabetes mellitus",8448,4.4,84.8
"Nephritis, nephrotic syndrome and nephrosis",3426,1.8,34.4
"Influenza and pneumonia",3176,1.6,31.9
"Accidents (unintentional injuries)",3059,1.6,30.7
Septicemia,2837,1.5,28.5
"Chronic liver disease and cirrhosis",2165,1.1,21.7
"All other causes",29380,15.2,294.9
