"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",32501,100,143.9
"Malignant neoplasms",9176,28.2,40.6
"Accidents (unintentional injuries)",3969,12.2,17.6
"Diseases of heart",3895,12,17.2
"Human immunodeficiency virus (HIV) disease",1478,4.5,6.5
"Intentional self-harm (suicide)",1448,4.5,6.4
"Cerebrovascular diseases",1302,4,5.8
"Chronic liver disease and cirrhosis",1057,3.3,4.7
"Assault (homicide)",900,2.8,4
"Diabetes mellitus",775,2.4,3.4
"Chronic lower respiratory diseases",493,1.5,2.2
"All other causes",8008,24.6,35.5
