Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,2723,19.6,2494
"2–11 months",1620,1274,22.5,1146
"1–2 years",2310,1956,26.1,1856
"3–5 years",2941,2077,31.4,1961
"6–11 years",3134,2344,48.1,2204
"12–15 years",1599,2483,64.4,2255
"16–19 years",1522,2759,78.5,2477
"20–29 years",3400,2851,32.7,2560
"30–39 years",3238,2983,41,2724
"40–49 years",2503,2913,43.9,2708
"50–59 years",1799,2993,51.7,2760
"60–69 years",2208,2821,39.8,2681
"70–79 years",1678,2666,35.2,2510
"80 years and over",1153,2492,45.1,2374
