"Cause of death (both sexes, Neonates)",Number,"Percent of total deaths","Death rate"
"All causes",13801,100,368.3
"Disorders related to short gestation and low birth weight, not elsewhere classified",3374,24.4,90
"Congenital malformations, deformations and chromosomal abnormalities",3047,22.1,81.3
"Newborn affected by maternal complications of pregnancy",1240,9,33.1
"Newborn affected by complications of placenta, cord and membranes",731,5.3,19.5
"Bacterial sepsis of newborn",579,4.2,15.5
"Respiratory distress of newborn",409,3,10.9
"Neonatal hemorrhage",335,2.4,8.9
"Intrauterine hypoxia and birth asphyxia",320,2.3,8.5
"Necrotizing enterocolitis of newborn",312,2.3,8.3
Atelectasis,230,1.7,6.1
"All other causes",3224,23.4,86
