"Cause of death (males, Neonates)","Death rate (per 100000)"
"All causes",400.7
"Disorders related to short gestation and low birth weight, not elsewhere classified",100.5
"Congenital malformations, deformations and chromosomal abnormalities",84.5
"Newborn affected by maternal complications of pregnancy",36.7
"Newborn affected by complications of placenta, cord and membranes",20.9
"Bacterial sepsis of newborn",17.2
"Respiratory distress of newborn",12.6
"Neonatal hemorrhage",9.6
"Intrauterine hypoxia and birth asphyxia",8.9
"Necrotizing enterocolitis of newborn",8.6
Atelectasis,7.1
"All other causes",94.2
