"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",2824,100,36.5
"Accidents (unintentional injuries)",1098,38.9,14.2
"Congenital malformations, deformations and chromosomal abnormalities",259,9.2,3.3
"Malignant neoplasms",233,8.3,3
"Assault (homicide)",198,7,2.6
"Diseases of heart",107,3.8,1.4
"Influenza and pneumonia",54,1.9,0.7
Septicemia,53,1.9,0.7
"Certain conditions originating in the perinatal period",52,1.8,0.7
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",33,1.2,0.4
"Chronic lower respiratory diseases",28,1,0.4
"All other causes",709,25.1,9.2
