"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",27890,100,149.9
"Accidents (unintentional injuries)",9059,32.5,48.7
"Intentional self-harm (suicide)",3938,14.1,21.2
"Assault (homicide)",3361,12.1,18.1
"Diseases of heart",1922,6.9,10.3
"Malignant neoplasms",1854,6.6,10
"Human immunodeficiency virus (HIV) disease",1602,5.7,8.6
"Diabetes mellitus",376,1.3,2
"Cerebrovascular diseases",308,1.1,1.7
"Chronic liver disease and cirrhosis",280,1,1.5
"Congenital malformations, deformations and chromosomal abnormalities",279,1,1.5
"All other causes",4911,17.6,26.4
