"Primary diagnosis group ","Standard error of percent"
"All visits",-
"Essential hypertension",0.3
"Routine infant or child health check",0.3
"Acute upper respiratory infections, excluding pharyngitis ",0.2
"Arthropathies and related disorders",0.3
"Spinal disorders",0.2
"Malignant neoplasms",0.2
"Diabetes mellitus",0.2
"Rheumatism, excluding back",0.1
"Specific procedures and aftercare",0.2
"General medical examination",0.2
"Normal pregnancy",0.2
"Follow up examination",0.2
"Otitis media and eustachian tube disorders",0.1
Asthma,0.2
"Heart disease, excluding ischemic ",0.1
"Gynecological examination",0.2
"Ischemic heart disease",0.1
"Allergic rhinitis",0.2
"Psychoses, excluding major depressive disorder",0.1
"Chronic sinusitis",0.1
Glaucoma,0.2
"Benign neoplasms",0.1
"Abdominal pain",0.1
"Acute pharyngitis",0.1
"Disorders of lipoid metabolism",0.1
"Sprains and strains, excluding ankle and back",0.1
"Potential health hazards related to personal and family history",0.1
"Chronic and unspecified bronchitis",0.1
"Contact dermatitis and other eczema",0.1
Cataract,0.1
"Depressive disorder, not elsewhere classified",0.1
"Chest pain",0.1
"Contusion with intact skin surface",0.1
"Complications of pregnancy, childbirth, and the puerperium",0.1
"Urinary tract infection, site not specified",0.1
"All other diagnoses",0.6
