Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",*,5.8,6.2,6.5,7.6,8.7,9.4,10.1,*
"6–8 months",*,5.4,5.7,6.2,7.4,8.6,9.6,10,*
"9–11 months",*,5.5,5.9,6.2,7,8,8.6,9.4,*
"1 year",4.6,5,5.3,5.7,6.7,7.9,8.7,9,9.6
"2 years",4.4,4.8,5,5.4,6.2,7.3,8,8.6,9.1
"3 years",*,4.5,4.6,5,5.7,6.5,7.2,7.9,*
"4 years",4.1,4.4,4.5,5,5.6,6.4,7.3,8,9.2
"5 years",4,4.3,4.4,4.7,5.3,6,6.6,7.4,9.3
"6 years",*,4.5,4.7,4.8,5.5,6.5,8.2,13.6,*
"7 years",*,4.3,4.5,4.6,5.4,6.5,7.8,9.6,*
"8 years",*,4.4,4.6,4.8,5.8,8.4,9.5,15,*
"9 years",*,4.5,4.7,5,6.3,10,13.1,18.2,*
"10 years",*,4.7,4.9,5.4,6.4,12.4,14.8,17.2,*
"11 years",*,5,5.2,5.7,7.2,11.9,18.6,26,*
"12 years",*,*,5.6,6,8.3,13.5,18.5,*,*
"13 years",*,*,5.3,5.9,7.2,11.5,16,*,*
"14 years",*,*,6.1,6.8,8.1,11.9,14.7,*,*
"15 years",*,*,6.4,6.9,8.5,14.4,21.5,*,*
"16 years",*,*,6.7,7.4,8.4,11.3,15.5,*,*
"17 years",*,*,7.3,8,10.1,13.6,17.7,*,*
"18 years",*,*,7.3,8,9.8,13.3,17.1,*,*
"19 years",*,*,*,9.2,11.7,15.3,*,*,*
"20 years and older",8.6,9.9,11,13.2,18.2,23.7,27.1,29.5,33.1
"20–29 years",7.9,8.7,9.1,10.6,14.3,20.3,24.1,26.8,31.8
"30–39 years",8.8,10,11.1,13.5,18.3,23.7,26.8,29.2,32.7
"40–49 years",9.4,11,12.5,14.6,19.3,24.4,28.2,30.2,34.1
"50–59 years",10.4,11.7,13,15.1,20,26,29,30.8,34.2
"60–69 years",10.2,11.9,13.2,15.4,20.6,25.9,29.4,32,35
"70–79 years",9.1,11.2,12.3,14.4,18.8,24.1,26.6,28.3,32
"80 years and older",7.7,8.9,10.2,12.2,16.6,20.2,22.5,23.8,27.2
