Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,1994,43,775
"2–11 months",1620,1568,76.6,411
"1–2 years",2310,1042,54,434
"3–5 years",2941,1031,59.2,458
"6–11 years",3134,1267,78.1,504
"12–15 years",1598,1484,101.1,533
"16–19 years",1521,1432,153.7,657
"20–29 years",3400,1882,112.8,791
"30–39 years",3238,2232,117.1,961
"40–49 years",2503,2136,106.2,848
"50–59 years",1799,2496,112.7,1016
"60–69 years",2208,2704,99.7,1157
"70–79 years",1678,2711,129.9,1127
"80 years and over",1153,2808,166.2,1023
