Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",508,3.5,0.02,*,3.2,3.2,3.3,3.5,3.6,3.7,3.7,*
"3 years",567,3.6,0.02,3.2,3.3,3.4,3.5,3.6,3.8,3.9,3.9,4
"4 years",528,3.8,0.02,*,3.5,3.5,3.6,3.8,4,4,4.2,*
"5 years",555,3.9,0.02,*,3.6,3.7,3.7,3.9,4.1,4.2,4.3,*
"6 years",274,4.1,0.03,*,*,3.8,3.9,4.1,4.2,4.4,*,*
"7 years",269,4.2,0.04,*,*,3.9,4,4.2,4.4,4.5,*,*
"8 years",245,4.4,0.03,*,*,4.1,4.2,4.4,4.6,4.7,*,*
"9 years",271,4.6,0.03,*,*,4.3,4.4,4.5,4.8,4.9,*,*
"10 years",257,4.7,0.04,*,*,4.4,4.5,4.7,4.9,5,*,*
"11 years",270,4.9,0.04,*,*,4.5,4.6,4.8,5.1,5.2,*,*
"12 years",233,5,0.04,*,*,4.5,4.7,5,5.2,5.2,*,*
"13 years",218,5,0.04,*,*,4.7,4.8,5,5.2,5.3,*,*
"14 years",217,5,0.04,*,*,4.7,4.8,5,5.2,5.3,*,*
"15 years",189,5,0.04,*,*,4.7,4.9,5,5.2,5.3,*,*
"16 years",203,5.1,0.04,*,*,4.7,4.8,5.1,5.3,5.4,*,*
"17 years",197,5,0.04,*,*,4.8,4.9,5.1,5.3,5.3,*,*
"18 years",170,5,0.04,*,*,*,4.8,5,5.2,*,*,*
"19 years",171,5,0.04,*,*,*,4.8,5,5.2,*,*,*
"20 years and older",8162,5.2,0.01,4.7,4.8,4.8,5,5.2,5.4,5.5,5.6,5.7
"20–29 years",1619,5,0.01,4.5,4.7,4.7,4.8,5,5.2,5.4,5.4,5.5
"30–39 years",1713,5.1,0.01,4.7,4.8,4.8,4.9,5.1,5.3,5.4,5.5,5.6
"40–49 years",1305,5.2,0.01,4.6,4.7,4.8,5,5.2,5.4,5.5,5.6,5.7
"50–59 years",965,5.3,0.02,4.7,4.9,4.9,5,5.2,5.5,5.6,5.7,5.8
"60–69 years",1091,5.3,0.02,4.7,4.9,5,5,5.3,5.5,5.6,5.7,5.9
"70–79 years",873,5.3,0.02,4.8,4.9,5,5.1,5.3,5.5,5.7,5.7,5.9
"80 years and older",596,5.4,0.02,4.8,4.9,5,5.1,5.4,5.6,5.7,5.7,5.9
