Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"2 years",511,15.1,0.11,*,13.7,13.9,14.3,15,15.7,16.2,16.5,*
"3 years",564,16,0.11,14.2,14.6,14.8,15.2,16,16.7,17.1,17.3,17.9
"4 years",528,17.1,0.13,*,15.3,15.8,16.1,16.9,17.8,18.2,18.7,*
"5 years",555,17.7,0.12,*,16,16.4,16.7,17.5,18.4,19,19.5,*
"6 years",273,18.4,0.19,*,*,16.8,17.4,18,19.3,20,*,*
"7 years",269,19.4,0.27,*,*,17.1,18,19.3,20.7,22.2,*,*
"8 years",243,20.4,0.27,*,*,18.4,19,20.2,21.2,22.2,*,*
"9 years",274,21.4,0.3,*,*,19.3,20.3,21,22.2,23.7,*,*
"10 years",255,22.4,0.28,*,*,20.2,21,21.9,23.8,24.7,*,*
"11 years",267,23.5,0.29,*,*,20.9,22.2,23.4,25.2,25.8,*,*
"12 years",233,24.4,0.37,*,*,22.2,22.6,24,26.2,26.9,*,*
"13 years",217,26.1,0.35,*,*,23.3,24.2,26.3,27.3,28.8,*,*
"14 years",219,26.5,0.34,*,*,24.5,25,26.4,28,28.9,*,*
"15 years",195,26.8,0.41,*,*,24,24.7,26.6,28.4,29.1,*,*
"16 years",211,27.1,0.41,*,*,24.6,25.3,27.3,28.5,29.3,*,*
"17 years",211,27.2,0.36,*,*,24.6,25.4,27.3,29,29.1,*,*
"18 years",186,26.8,0.39,*,*,*,25,26.9,27.9,*,*,*
"19 years",187,28,0.49,*,*,25.1,25.9,27.5,29.1,29.9,*,*
"20 years and older",8356,29.1,0.07,23.9,25.1,25.8,26.9,28.9,31.1,32.4,33.3,34.9
"20–29 years",1806,27.7,0.12,22.8,23.9,24.7,25.7,27.5,29.3,30.4,31.6,33.4
"30–39 years",1786,28.8,0.14,23.4,24.8,25.5,26.6,28.5,30.7,32,33.2,35.3
"40–49 years",1302,29.4,0.15,24.9,25.8,26.4,27.4,29,31,32.4,33.3,35.1
"50–59 years",964,30.1,0.18,24.7,26,26.8,27.9,29.8,32.3,33.9,34.7,35.6
"60–69 years",1077,30.1,0.16,25,26.3,27.1,28.2,30,32.1,33.1,33.9,35.7
"70–79 years",854,30,0.17,24.9,26.4,26.9,28.2,30.1,31.7,32.7,33.7,34.8
"80 years and older",567,29.9,0.19,25,26.4,27,28.1,30.1,31.8,32.6,33.2,34
