Age,5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",341.65,361.07,370.11,385.47,412.65,448.76,471.22,484.79,509.32
"12–15 years",418.35,440.14,459.39,492.82,577.24,653.73,686.39,711.72,748.6
"16–19 years",583.55,611.72,629.89,653.07,705.47,752.23,782.81,799,827.14
"20–29 years",596.24,623.85,641.73,665.87,713.24,762.72,793.28,815.06,853.92
"30–39 years",594.63,617.05,631.63,658.4,708.5,758.1,781.92,804.23,846.15
"40–49 years",594.5,619.07,634.33,658.04,707.08,753.5,787.76,804.03,837.08
"50–59 years",573.23,602.27,621.06,644.46,692.74,746.14,777.61,792.69,824.34
"60–69 years",571.78,596.26,612.77,637.64,692.65,740.21,768.6,787.99,822.96
"70–79 years",540.26,567.46,585.7,612.3,664.91,717.67,743.46,761.59,794.72
"80 years and over",513.34,538.97,553.43,578.9,630.22,679.72,708.69,723.09,752.54
