Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",88652,100,40912.3
Infectious,25712,29,11865.9
"Respiratory system",15168,17.1,6999.9
"Nervous system",10272,11.6,4740.5
"Digestive system",4606,5.2,2125.6
"Circulatory system",1768,2,815.9
"Accidents and injuries",1728,1.9,797.5
"Consumption (Tuberculosis)",969,1.1,447.2
"Genitourinary system",364,0.4,168
"Bones and joints",290,0.3,133.8
Skin,263,0.3,121.4
Cancer,34,0,15.7
"Absorbent system",18,0,8.3
"Other causes",27460,31,12672.6
