Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",283,7.8,0.18,*,5.8,6.2,6.5,7.6,8.7,9.4,10.1,*
"6–8 months",313,7.6,0.19,*,5.4,5.7,6.2,7.4,8.6,9.6,10,*
"9–11 months",269,7.2,0.16,*,5.5,5.9,6.2,7,8,8.6,9.4,*
"1 year",644,6.9,0.11,4.6,5,5.3,5.7,6.7,7.9,8.7,9,9.6
"2 years",549,6.4,0.11,4.4,4.8,5,5.4,6.2,7.3,8,8.6,9.1
"3 years",479,6.2,0.22,*,4.5,4.6,5,5.7,6.5,7.2,7.9,*
"4 years",537,6,0.15,4.1,4.4,4.5,5,5.6,6.4,7.3,8,9.2
"5 years",491,5.8,0.18,4,4.3,4.4,4.7,5.3,6,6.6,7.4,9.3
"6 years",278,6.9,0.45,*,4.5,4.7,4.8,5.5,6.5,8.2,13.6,*
"7 years",267,6.7,0.52,*,4.3,4.5,4.6,5.4,6.5,7.8,9.6,*
"8 years",261,7.6,0.5,*,4.4,4.6,4.8,5.8,8.4,9.5,15,*
"9 years",271,8.6,0.58,*,4.5,4.7,5,6.3,10,13.1,18.2,*
"10 years",292,9.1,0.53,*,4.7,4.9,5.4,6.4,12.4,14.8,17.2,*
"11 years",280,10.5,0.75,*,5,5.2,5.7,7.2,11.9,18.6,26,*
"12 years",199,10.8,0.82,*,*,5.6,6,8.3,13.5,18.5,*,*
"13 years",180,10.2,0.9,*,*,5.3,5.9,7.2,11.5,16,*,*
"14 years",182,11,1.04,*,*,6.1,6.8,8.1,11.9,14.7,*,*
"15 years",181,11.7,0.97,*,*,6.4,6.9,8.5,14.4,21.5,*,*
"16 years",187,10.9,0.82,*,*,6.7,7.4,8.4,11.3,15.5,*,*
"17 years",190,12.7,0.93,*,*,7.3,8,10.1,13.6,17.7,*,*
"18 years",168,12.3,0.87,*,*,7.3,8,9.8,13.3,17.1,*,*
"19 years",159,13.9,0.98,*,*,*,9.2,11.7,15.3,*,*,*
"20 years and older",7148,19,0.18,8.6,9.9,11,13.2,18.2,23.7,27.1,29.5,33.1
"20–29 years",1541,16.2,0.28,7.9,8.7,9.1,10.6,14.3,20.3,24.1,26.8,31.8
"30–39 years",1377,19,0.29,8.8,10,11.1,13.5,18.3,23.7,26.8,29.2,32.7
"40–49 years",1103,20.1,0.33,9.4,11,12.5,14.6,19.3,24.4,28.2,30.2,34.1
"50–59 years",770,20.8,0.4,10.4,11.7,13,15.1,20,26,29,30.8,34.2
"60–69 years",1059,21.2,0.34,10.2,11.9,13.2,15.4,20.6,25.9,29.4,32,35
"70–79 years",761,19.5,0.37,9.1,11.2,12.3,14.4,18.8,24.1,26.6,28.3,32
"80 years and older",537,16.7,0.38,7.7,8.9,10.2,12.2,16.6,20.2,22.5,23.8,27.2
