"Cause of death (female, 85 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",535581,100,12666.1
"Diseases of heart",148630,27.8,3515
"Alzheimer disease",57178,10.7,1352.2
"Malignant neoplasms",53895,10.1,1274.6
"Cerebrovascular diseases",43840,8.2,1036.8
"Chronic lower respiratory diseases",25674,4.8,607.2
"Accidents (unintentional injuries)",14414,2.7,340.9
"Influenza and pneumonia",11454,2.1,270.9
"Essential hypertension and hypertensive renal disease",10129,1.9,239.5
"Diabetes mellitus",9559,1.8,226.1
"Nephritis, nephrotic syndrome and nephrosis",9058,1.7,214.2
"All other causes",151750,28.3,3588.8
