"Cause of death (male, 85 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",338165,100,14229.6
"Diseases of heart",102245,30.2,4302.4
"Malignant neoplasms",49866,14.7,2098.3
"Alzheimer disease",21510,6.4,905.1
"Cerebrovascular diseases",20710,6.1,871.5
"Chronic lower respiratory diseases",17543,5.2,738.2
"Accidents (unintentional injuries)",10512,3.1,442.3
"Influenza and pneumonia",8010,2.4,337.1
"Parkinson disease",7846,2.3,330.2
"Diabetes mellitus",7584,2.2,319.1
"Nephritis, nephrotic syndrome and nephrosis",7514,2.2,316.2
"All other causes",84825,25.1,3569.3
