Age,"Sample size",Mean,"Standard error",Median
"All ages",29103,33.6,0.17,33.8
"2–11 months",1620,37.6,0.28,38.2
"1–2 years",2310,33.3,0.33,33.7
"3–5 years",2941,32.8,0.26,32.8
"6–11 years",3134,33.7,0.22,33.6
"12–15 years",1598,33.5,0.34,33.4
"16–19 years",1521,33.9,0.33,34.2
"20–29 years",3400,33.2,0.32,33.7
"30–39 years",3238,34.3,0.35,34.6
"40–49 years",2503,34.4,0.4,34.6
"50–59 years",1799,33.6,0.39,34.1
"60–69 years",2208,32.3,0.34,32.5
"70–79 years",1678,32.3,0.41,32.3
"80 years and over",1153,31.6,0.28,32
