Age,Injury,"Accidental discharge","Intentional self-harm (suicide)","Assault (homicide)","Undetermined intent","Legal intervention"
"All ages",18.3,0.5,10.7,6.7,0.1,0.2
"Under 1 year",*,*,...,*,*,*
"1-4 years",0.4,*,...,*,*,*
"5-9 years",0.5,*,*,0.3,*,*
"10-14 years",2.5,0.5,0.9,1.1,*,*
"15-19 years",22.7,0.9,7.8,13.5,0.2,0.3
"20-24 years",38,0.9,13.3,23,0.4,0.5
"25-29 years",31.4,0.7,12.2,17.7,0.3,0.5
"30-34 years",22.7,0.5,10.7,11.1,*,0.3
"35-39 years",19.9,0.5,11.3,7.6,*,0.3
"40-44 years",19.2,0.6,12.5,5.7,*,0.2
"45-49 years",18.1,0.3,12.9,4.6,*,0.3
"50-54 years",17.7,0.5,13.6,3.4,*,*
"55-59 years",16.7,0.5,13.4,2.7,*,*
"60-64 years",16.4,*,14.2,1.9,*,*
"65-69 years",18.1,0.5,16.1,1.3,*,*
"70-74 years",23.3,*,21.4,1.3,*,*
"75-79 years",29,*,27.6,0.7,*,*
"80-84 years",36,*,34.8,*,*,*
"85 years and over",42.5,*,40.7,*,*,*
"Age-adjusted rate",18.6,0.5,11.2,6.5,0.1,0.2
