"Cause of death","All ages","Under 1 year",1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,"85 and over","Age adjusted rate"
"All causes",869.7,553,23.3,13.4,69.7,128.8,199.2,392.4,883.3,1764.6,4308.3,13228.6,715.2
"Diseases of heart",200.8,7.1,0.8,0.4,2,7.6,25.2,76.2,190.4,388.8,991.2,3798.3,161.5
"Malignant neoplasms",182.7,1.5,1.8,1.9,3.3,7.8,25.7,87.1,263.3,543.3,1005.9,1571,146.2
"Accidents (unintentional injuries)",52.7,33.5,7.3,3.6,27.5,53.4,57.8,57.1,58.6,54.5,115.5,377.4,49.3
"Chronic lower respiratory diseases",47.8,*,0.2,0.4,0.4,0.8,1.6,8.8,44.2,124.6,318,654.3,38.2
"Cerebrovascular diseases",45.7,2.7,0.3,0.2,0.4,1.3,4.2,12.6,30.5,76.4,254.2,977.3,37
"Alzheimer disease",37,*,*,*,*,*,*,0.3,3,24.9,210.2,1191.3,29.8
"Diabetes mellitus",26.7,*,*,0.1,0.6,1.9,5.3,15.5,36.5,73.3,138.9,259.5,21.6
"Nephritis, nephrotic syndrome and nephrosis",15.7,1.6,*,*,0.2,0.7,1.8,5.6,13.8,34.7,92.2,250.9,12.7
"Influenza and pneumonia",15.2,4.1,0.8,0.3,0.4,1,2.3,5.1,12.5,27.3,77.2,294.7,12.3
"Intentional self–harm (suicide)",14.5,…,…,1.3,13.9,17.5,18.1,19.6,19.4,15.5,18.6,20.1,13.9
"Dementia-related causes",82.8,*,*,0.1,*,0.1,0.1,0.9,8.2,59.3,448.6,2688.9,66.6
"Drug-induced causes",22.7,1.3,0.3,0.2,11.5,36.9,42.3,38.9,32.7,12.6,5.2,4.6,22.8
"Alcohol-induced causes",11.9,*,*,*,0.4,4.2,11.1,22,32.5,22.5,12.6,6.4,10.4
"Injury by firearms",12.1,*,0.5,1,17.4,18.1,14.6,12.7,12.3,11.1,15,16.1,11.9
