| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.09           |
| 2–11 months       | 0.17           |
| 1–2 years         | 0.2            |
| 3–5 years         | 0.16           |
| 6–11 years        | 0.17           |
| 12–15 years       | 0.23           |
| 16–19 years       | 0.25           |
| 20–29 years       | 0.17           |
| 30–39 years       | 0.19           |
| 40–49 years       | 0.18           |
| 50–59 years       | 0.19           |
| 60–69 years       | 0.19           |
| 70–79 years       | 0.23           |
| 80 years and over | 0.2            |
