| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.09           |
| 2–11 months       | 0.17           |
| 1–2 years         | 0.23           |
| 3–5 years         | 0.17           |
| 6–11 years        | 0.16           |
| 12–15 years       | 0.23           |
| 16–19 years       | 0.2            |
| 20–29 years       | 0.18           |
| 30–39 years       | 0.16           |
| 40–49 years       | 0.17           |
| 50–59 years       | 0.24           |
| 60–69 years       | 0.18           |
| 70–79 years       | 0.19           |
| 80 years and over | 0.19           |
