Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,2517,22.9,2319
"2–11 months",815,916,12,862
"1–2 years",1171,1360,22.5,1315
"3–5 years",1424,1667,27.3,1578
"6–11 years",1581,2147,46.3,2023
"12–15 years",751,2631,77.9,2446
"16–19 years",711,3064,69.8,2936
"20–29 years",1587,3052,46.9,2882
"30–39 years",1424,2883,51,2735
"40–4 9 years",1188,2643,42.6,2520
"50–59 years",820,2452,54.9,2318
"60–69 years",1111,2139,35.8,2007
"70–79 years",783,1946,38.3,1805
"80 years and over",557,1810,48.1,1728
