Age,"Sample size",Mean,"Standard error",Median
"All ages",13922,2070,58.1,836
"2–11 months",815,1629,97.6,424
"1–2 years",1171,1144,87.4,445
"3–5 years",1424,1039,73.8,474
"6–11 years",1581,1248,108.3,529
"12–15 years",750,1635,339.7,590
"16–19 years",711,1558,218.8,761
"20–29 years",1587,2068,146.9,902
"30–39 years",1424,2359,204.1,1091
"40–49 years",1188,2260,169.4,917
"50–59 years",820,2580,213.3,1044
"60–69 years",1111,2761,139.3,1127
"70–79 years",783,2707,214.5,987
"80 years and over",557,2888,286,900
