Age,Injury,"Accidental discharge","Intentional self-harm (suicide)","Assault (homicide)","Undetermined intent","Legal intervention"
"All ages",28663,776,16586,10801,230,270
"Under 1 year",13,1,...,12,-,-
"1-4 years",46,18,...,28,-,-
"5-9 years",70,18,-,50,2,-
"10-14 years",307,49,110,137,8,3
"15-19 years",2606,107,897,1549,26,27
"20-24 years",3969,95,1370,2414,45,45
"25-29 years",3165,74,1223,1789,32,47
"30-34 years",2624,57,1230,1285,20,32
"35-39 years",2718,75,1521,1064,18,40
"40-44 years",2640,78,1670,842,21,29
"45-49 years",2146,38,1491,582,9,26
"50-54 years",1805,40,1367,377,14,7
"55-59 years",1289,36,1001,235,12,5
"60-64 years",983,14,832,132,3,2
"65-69 years",923,24,791,99,7,2
"70-74 years",1018,17,909,85,4,3
"75-79 years",994,17,917,54,5,1
"80-84 years",729,7,694,27,1,-
"85 years and over",600,11,558,28,2,1
"Age not stated",18,-,5,12,1,-
