| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.17           |
| 3     | 0.19           |
| 4     | 0.28           |
| 5     | 0.25           |
| 6     | 0.45           |
| 7     | 0.5            |
| 8     | 0.51           |
| 9     | 0.64           |
| 10    | 0.61           |
| 11    | 0.57           |
| 12    | 0.7            |
| 13    | 0.71           |
| 14    | 0.71           |
| 15    | 0.64           |
| 16    | 0.65           |
| 17    | 0.73           |
| 18    | 0.88           |
| 19    | 0.92           |
| 20+   | 0.15           |
| 20–29 | 0.23           |
| 30–39 | 0.26           |
| 40–49 | 0.29           |
| 50–59 | 0.34           |
| 60–69 | 0.3            |
| 70–79 | 0.33           |
| 80+   | 0.37           |
