| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.15           |
| 3     | 0.21           |
| 4     | 0.18           |
| 5     | 0.22           |
| 6     | 0.44           |
| 7     | 0.4            |
| 8     | 0.48           |
| 9     | 0.53           |
| 10    | 0.47           |
| 11    | 0.61           |
| 12    | 0.65           |
| 13    | 0.72           |
| 14    | 1.05           |
| 15    | 0.74           |
| 16    | 0.76           |
| 17    | 0.62           |
| 18    | 0.79           |
| 19    | 0.66           |
| 20+   | 0.12           |
| 20–29 | 0.18           |
| 30–39 | 0.19           |
| 40–49 | 0.2            |
| 50–59 | 0.22           |
| 60–69 | 0.18           |
| 70–79 | 0.24           |
| 80+   | 0.25           |
