Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,12.3,0.07,12.2
"2–11 months",805,9.8,0.29,8.1
"1–2 years",1139,12.3,0.16,12
"3–5 years",1517,12.3,0.16,12
"6–11 years",1553,12.5,0.13,12.4
"12–15 years",848,12.6,0.2,12.6
"16–19 years",810,12.5,0.22,12.5
"20–29 years",1813,12.1,0.14,12.2
"30–39 years",1814,12.7,0.18,12.6
"40–49 years",1315,12.9,0.21,12.8
"50–59 years",979,12.2,0.23,12
"60–69 years",1097,11.9,0.17,11.8
"70–79 years",895,11.7,0.2,11.6
"80 years and over",596,11.6,0.11,11.8
