Age,"Sample size",Mean,"Standard error",Median
"All ages",15181,33.4,0.19,33.5
"2–11 months",805,38.1,0.38,38.4
"1–2 years",1139,33.7,0.36,34.3
"3–5 years",1517,32.9,0.31,32.6
"6–11 years",1553,33.6,0.36,33.4
"12–15 years",848,33.8,0.51,33.5
"16–19 years",810,33.8,0.56,34.6
"20–29 years",1813,33,0.4,33.3
"30–39 years",1814,34.1,0.48,34.2
"40–49 years",1315,34.8,0.45,34.7
"50–59 years",979,32.8,0.52,32.9
"60–69 years",1097,31.8,0.45,32.1
"70–79 years",895,31.5,0.48,31.2
"80 years and over",596,31.1,0.32,31.4
